residentId,displayName,creditTierAtApplication,householdSize,hasPets,syntheticProfileGroundTruth
RES-00001,Finley Ibarra,D,2,False,degrading
RES-00002,Morgan Osei,B,2,True,reliable
RES-00003,Emerson Tran,A,2,True,reliable
RES-00004,Alex Reyes,B,3,False,occasionally_late
RES-00005,Avery Whitfield,A,2,True,reliable
RES-00006,Devon Mercer,B,3,True,reliable
RES-00007,Micah Mercer,B,3,False,reliable
RES-00008,Marley Yates,B,4,False,reliable
RES-00009,Jordan Dawson,C,4,False,reliable
RES-00010,Emerson Lamb,B,3,False,reliable
RES-00011,Kendall Ibarra,B,1,False,occasionally_late
RES-00012,Devon Underwood,A,5,False,reliable
RES-00013,Skyler Griffin,A,3,False,reliable
RES-00014,Taylor Whitfield,D,5,False,reliable
RES-00015,Avery Alvarez,C,2,False,reliable
RES-00016,Lane Tran,B,2,False,degrading
RES-00017,Noel Novak,A,3,False,reliable
RES-00018,Noel Keller,C,4,False,reliable
RES-00019,Sasha Hayes,A,2,True,reliable
RES-00020,Avery Zamora,D,1,True,reliable
RES-00021,Logan Hayes,C,2,False,reliable
RES-00022,Casey Hayes,D,3,True,reliable
RES-00023,Hayden Chen,D,5,False,reliable
RES-00024,Noel Quintero,C,5,True,reliable
RES-00025,Jordan Yates,C,1,True,reliable
RES-00026,Jamie Foster,A,3,False,reliable
RES-00027,Hayden Bennett,A,5,True,reliable
RES-00028,Devon Griffin,A,5,True,reliable
RES-00029,Logan Chen,C,3,True,reliable
RES-00030,Harper Osei,B,3,False,reliable
RES-00031,Kendall Park,A,3,True,reliable
RES-00032,Riley Vargas,B,2,False,reliable
RES-00033,Taylor Griffin,B,1,True,reliable
RES-00034,Hayden Yates,B,2,False,reliable
RES-00035,Elliot Novak,A,5,True,reliable
RES-00036,Sasha Jensen,A,5,False,reliable
RES-00037,Skyler Park,B,5,False,occasionally_late
RES-00038,Hayden Griffin,A,3,False,reliable
RES-00039,Skyler Ibarra,A,5,True,reliable
RES-00040,Logan Whitfield,A,4,False,reliable
RES-00041,Quinn Chen,D,3,True,reliable
RES-00042,Elliot Jensen,A,2,True,reliable
RES-00043,Lane Lamb,C,3,True,reliable
RES-00044,Devon Alvarez,C,4,False,reliable
RES-00045,Micah Hayes,C,3,True,reliable
RES-00046,Micah Alvarez,A,4,False,reliable
RES-00047,Avery Osei,C,4,True,reliable
RES-00048,Noel Park,A,4,False,reliable
RES-00049,Harper Mercer,C,3,False,reliable
RES-00050,Jordan Osei,C,3,True,reliable
RES-00051,Kendall Mercer,D,3,True,reliable
RES-00052,Quinn Sandoval,D,3,False,occasionally_late
RES-00053,Logan Reyes,A,2,True,occasionally_late
RES-00054,Taylor Lamb,B,2,False,reliable
RES-00055,Kai Ibarra,B,5,False,reliable
RES-00056,Payton Vargas,B,2,False,reliable
RES-00057,Noel Zamora,A,2,True,reliable
RES-00058,Kai Sandoval,C,4,False,reliable
RES-00059,Micah Lamb,B,3,False,reliable
RES-00060,Noel Bennett,B,3,False,reliable
RES-00061,Alex Keller,B,2,False,degrading
RES-00062,Reese Underwood,C,5,True,reliable
RES-00063,Noel Alvarez,A,2,True,reliable
RES-00064,Quinn Osei,B,3,False,reliable
RES-00065,Lane Whitfield,C,2,True,reliable
RES-00066,Riley Foster,B,4,False,reliable
RES-00067,Kai Osei,A,2,True,reliable
RES-00068,Alex Tran,D,4,True,reliable
RES-00069,Jordan Alvarez,B,2,False,degrading
RES-00070,Logan Underwood,C,4,True,reliable
RES-00071,Skyler Tran,B,3,True,reliable
RES-00072,Kendall Novak,C,5,False,reliable
RES-00073,Payton Ellis,B,3,True,severe
RES-00074,Micah Hayes,D,5,True,reliable
RES-00075,Sasha Underwood,B,3,False,reliable
RES-00076,Sasha Yates,A,2,False,reliable
RES-00077,Devon Hayes,C,2,True,reliable
RES-00078,Taylor Vargas,B,2,False,reliable
RES-00079,Devon Jensen,B,1,True,reliable
RES-00080,Kendall Tran,B,5,False,reliable
RES-00081,Kai Park,D,2,True,reliable
RES-00082,Taylor Vargas,C,5,True,reliable
RES-00083,Jordan Keller,B,3,False,reliable
RES-00084,Lane Jensen,A,4,False,reliable
RES-00085,Lane Zamora,B,1,True,reliable
RES-00086,Avery Whitfield,C,3,False,reliable
RES-00087,Casey Griffin,B,1,False,reliable
RES-00088,Quinn Jensen,C,2,False,reliable
RES-00089,Riley Jensen,A,1,False,reliable
RES-00090,Marley Foster,D,5,False,occasionally_late
RES-00091,Noel Osei,B,1,False,reliable
RES-00092,Marley Chen,B,2,False,reliable
RES-00093,Quinn Griffin,B,2,False,reliable
RES-00094,Lane Chen,C,2,True,degrading
RES-00095,Devon Dawson,D,3,True,reliable
RES-00096,Jamie Sandoval,B,2,False,reliable
RES-00097,Devon Dawson,B,4,False,occasionally_late
RES-00098,Morgan Lamb,C,3,False,degrading
RES-00099,Devon Griffin,A,3,True,reliable
RES-00100,Emerson Lamb,B,3,True,reliable
RES-00101,Noel Reyes,B,3,True,occasionally_late
RES-00102,Casey Park,A,3,False,reliable
RES-00103,Reese Foster,C,5,False,reliable
RES-00104,Devon Zamora,D,2,False,reliable
RES-00105,Taylor Bennett,D,3,False,reliable
RES-00106,Harper Jensen,A,1,True,occasionally_late
RES-00107,Elliot Quintero,B,3,True,reliable
RES-00108,Marley Keller,A,1,True,reliable
RES-00109,Sasha Park,A,2,False,reliable
RES-00110,Emerson Tran,C,2,True,degrading
RES-00111,Kendall Ellis,C,3,False,reliable
RES-00112,Harper Lamb,D,3,True,reliable
RES-00113,Devon Novak,B,4,False,reliable
RES-00114,Marley Park,B,1,True,reliable
RES-00115,Hayden Bennett,C,5,True,reliable
RES-00116,Sasha Park,B,5,False,reliable
RES-00117,Kai Park,C,4,False,degrading
RES-00118,Finley Ibarra,B,2,False,reliable
RES-00119,Jordan Underwood,A,2,False,reliable
RES-00120,Morgan Bennett,A,2,False,reliable
RES-00121,Reese Underwood,C,5,True,reliable
RES-00122,Skyler Griffin,B,3,False,reliable
RES-00123,Skyler Ibarra,A,3,True,severe
RES-00124,Micah Griffin,B,2,False,reliable
RES-00125,Logan Ellis,C,3,True,reliable
RES-00126,Elliot Quintero,A,5,True,reliable
RES-00127,Sasha Osei,C,3,True,reliable
RES-00128,Avery Reyes,C,2,True,reliable
RES-00129,Kai Mercer,A,1,False,reliable
RES-00130,Kai Foster,B,2,False,reliable
RES-00131,Riley Mercer,B,5,True,reliable
RES-00132,Avery Vargas,D,3,False,reliable
RES-00133,Taylor Foster,B,4,False,reliable
RES-00134,Quinn Park,C,2,False,reliable
RES-00135,Payton Ibarra,B,5,True,reliable
RES-00136,Riley Jensen,B,3,False,reliable
RES-00137,Taylor Foster,C,3,False,reliable
RES-00138,Marley Alvarez,C,2,False,reliable
RES-00139,Micah Quintero,C,3,True,reliable
RES-00140,Devon Quintero,A,1,True,reliable
RES-00141,Payton Jensen,A,2,False,reliable
RES-00142,Avery Keller,C,3,True,degrading
RES-00143,Payton Sandoval,C,3,True,severe
RES-00144,Micah Foster,B,4,True,reliable
RES-00145,Avery Yates,B,2,True,reliable
RES-00146,Casey Underwood,A,5,True,reliable
RES-00147,Alex Tran,B,4,True,reliable
RES-00148,Devon Park,B,2,False,reliable
RES-00149,Quinn Ibarra,D,3,True,reliable
RES-00150,Noel Novak,B,3,True,reliable
RES-00151,Lane Quintero,C,5,True,reliable
RES-00152,Harper Jensen,C,1,False,reliable
RES-00153,Micah Jensen,D,3,True,reliable
RES-00154,Avery Tran,A,2,False,reliable
RES-00155,Marley Foster,D,2,False,reliable
RES-00156,Devon Ellis,C,3,False,severe
RES-00157,Emerson Griffin,B,2,False,reliable
RES-00158,Sasha Whitfield,A,4,False,reliable
RES-00159,Jordan Alvarez,B,5,True,degrading
RES-00160,Logan Ibarra,A,4,False,reliable
RES-00161,Sasha Tran,B,3,False,reliable
RES-00162,Avery Lamb,B,4,False,reliable
RES-00163,Taylor Alvarez,A,3,True,occasionally_late
RES-00164,Morgan Ibarra,C,2,False,reliable
RES-00165,Taylor Park,A,2,True,reliable
RES-00166,Elliot Chen,B,2,True,reliable
RES-00167,Marley Alvarez,C,1,True,reliable
RES-00168,Payton Zamora,C,4,False,occasionally_late
RES-00169,Morgan Quintero,B,3,True,occasionally_late
RES-00170,Lane Lamb,B,2,False,reliable
RES-00171,Finley Alvarez,D,3,True,reliable
RES-00172,Elliot Jensen,C,4,True,reliable
RES-00173,Taylor Zamora,C,5,False,reliable
RES-00174,Alex Tran,B,1,True,reliable
RES-00175,Riley Ellis,A,2,True,degrading
RES-00176,Lane Osei,B,2,True,reliable
RES-00177,Sasha Quintero,A,2,False,degrading
RES-00178,Skyler Bennett,A,3,True,reliable
RES-00179,Harper Novak,C,5,False,reliable
RES-00180,Casey Quintero,C,2,False,reliable
RES-00181,Skyler Sandoval,C,3,False,reliable
RES-00182,Alex Bennett,B,3,False,reliable
RES-00183,Quinn Reyes,C,4,True,reliable
RES-00184,Emerson Foster,A,3,False,reliable
RES-00185,Taylor Quintero,B,4,True,reliable
RES-00186,Reese Dawson,C,3,False,reliable
RES-00187,Micah Bennett,B,4,False,occasionally_late
RES-00188,Jordan Lamb,B,2,False,occasionally_late
RES-00189,Riley Alvarez,A,2,True,reliable
RES-00190,Skyler Keller,A,3,False,occasionally_late
RES-00191,Marley Griffin,B,3,False,reliable
RES-00192,Lane Vargas,B,3,True,reliable
RES-00193,Casey Hayes,C,2,False,degrading
RES-00194,Sasha Underwood,A,1,False,reliable
RES-00195,Emerson Lamb,B,5,False,reliable
RES-00196,Alex Mercer,D,1,False,degrading
RES-00197,Taylor Underwood,B,2,True,reliable
RES-00198,Micah Alvarez,C,1,False,degrading
RES-00199,Hayden Bennett,C,5,True,reliable
